cate_product_title,cate_pirce,cate_vendor,cate_voucher,cate_new_tag,listing_link,listing_link,Brand,Product type,Profile,Layout size,Layout standard,Layout ergonomics,Hot-swappable,Knob support,Rgb support,Display support,QMK/VIA,Connection,Battery capacity,Mount style,Case material,Keycap material,scraping_date
Akko Sailor Moon 3087/3108,$65,Mechkeys,None,None,https://keeb-finder.com/keyboards/akko-sailor-moon-3087-3108-wired-mechanical-keyboard,https://keeb-finder.com/keyboards/akko-sailor-moon-3087-3108-wired-mechanical-keyboard,Akko,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Unknown,Plastic,PBT,2024-03-28
Akko 3108/3087 Melody,$69,Mechkeys,None,None,https://keeb-finder.com/keyboards/akko-3108-3087-melody-mechanical-keyboard,https://keeb-finder.com/keyboards/akko-3108-3087-melody-mechanical-keyboard,Akko,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Unknown,Plastic,PBT,2024-03-28
Royal Kludge RKS98 TFT Screen,$79,Mechkeys,None,None,https://keeb-finder.com/keyboards/royal-kludge-rks98-tft-screen-mechanical-keyboard,https://keeb-finder.com/keyboards/royal-kludge-rks98-tft-screen-mechanical-keyboard,Royal Kludge,Keyboard,Normal Profile,95%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"Wired, Wireless",3750 mAh,Top Mount,Plastic,PBT,2024-03-28
Monsgeek M1 V2 Aluminium,$99,Mechkeys,None,None,https://keeb-finder.com/keyboards/monsgeek-m1-v2-aluminium-mechanical-keyboard,https://keeb-finder.com/keyboards/monsgeek-m1-v2-aluminium-mechanical-keyboard,Monsgeek,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,No,"Wired, Wireless",6000 mAh,Unknown,Aluminum,PBT,2024-03-28
Fl·esports FL980 V2,$99,Mechkeys,None,None,https://keeb-finder.com/keyboards/fl-esports-fl980-v2-hot-swap-mechanical-keyboard,https://keeb-finder.com/keyboards/fl-esports-fl980-v2-hot-swap-mechanical-keyboard,Fl·esports,Keyboard,Normal Profile,98%,ANSI,Normal,Yes,No,Yes,No,No,"2.4 GHz, Wireless",3000 mAh,Gasket Mount,Plastic,PC,2024-03-28
Kemove 1980 Series K87/K98 Three Mode,$75,Mechkeys,None,None,https://keeb-finder.com/keyboards/kemove-1980-series-k87-k98-three-mode-mechanical-keyboard,https://keeb-finder.com/keyboards/kemove-1980-series-k87-k98-three-mode-mechanical-keyboard,Kemove,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,No,Yes,No,No,"2.4 GHz, Wireless",4000 mAh,Unknown,Plastic,PBT,2024-03-28
Kzzi K68 Pro Gasket,$99,Mechkeys,None,None,https://keeb-finder.com/keyboards/kzzi-k68-pro-gasket-mechanical-keyboard,https://keeb-finder.com/keyboards/kzzi-k68-pro-gasket-mechanical-keyboard,Kzzi,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,Yes,Yes,No,No,"2.4 GHz, Wireless",2000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Jamesdonkey S1 Low Profile,$69,Mechkeys,None,None,https://keeb-finder.com/keyboards/jamesdonkey-s1-low-profile-75-mechanical-keyboard,https://keeb-finder.com/keyboards/jamesdonkey-s1-low-profile-75-mechanical-keyboard,Jamesdonkey,Keyboard,Low Profile,75%,ANSI,Normal,No,No,Yes,No,No,"2.4 GHz, Wireless, Bluetooth",2000 mAh,Unknown,Plastic,PBT,2024-03-28
Akko MOD007B Gasket,$99,Mechkeys,None,None,https://keeb-finder.com/keyboards/akko-mod007b-gasket-mechanical-keyboard,https://keeb-finder.com/keyboards/akko-mod007b-gasket-mechanical-keyboard,Akko,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,Yes,Yes,No,No,"2.4 GHz, Wireless",3600 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Akko Cabbage Dog 5108B Plus,$109,Mechkeys,None,None,https://keeb-finder.com/keyboards/akko-cabbage-dog-5108b-plus-mechanical-keyboard,https://keeb-finder.com/keyboards/akko-cabbage-dog-5108b-plus-mechanical-keyboard,Akko,Keyboard,Normal Profile,100%,ANSI,Normal,Yes,No,Yes,No,No,"2.4 GHz, Wireless",-,Unknown,Plastic,PBT,2024-03-28
Akko SPR67 Spring Mount,$199,Mechkeys,None,None,https://keeb-finder.com/keyboards/akko-spr67-spring-mount-keyboard-kit,https://keeb-finder.com/keyboards/akko-spr67-spring-mount-keyboard-kit,Akko,Keyboard Kit,Normal Profile,65%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Unknown,Plastic,Unknown,2024-03-28
Royalaxe A98 Three Mode,$85,Mechkeys,None,None,https://keeb-finder.com/keyboards/royalaxe-a98-three-mode-mechanical-keyboard,https://keeb-finder.com/keyboards/royalaxe-a98-three-mode-mechanical-keyboard,Royalaxe,Keyboard,Normal Profile,95%,ANSI,Normal,Yes,No,Yes,No,No,"2.4 GHz, Wireless",4000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Newmen SK01 Low Profile,$69,Mechkeys,None,None,https://keeb-finder.com/keyboards/newmen-sk01-low-profile-mechanical-keyboard,https://keeb-finder.com/keyboards/newmen-sk01-low-profile-mechanical-keyboard,Newmen,Keyboard,Low Profile,96%,ANSI,Normal,No,No,Yes,No,No,"2.4 GHz, Wireless",-,Unknown,Plastic,PBT,2024-03-28
Feker IK105/IK85 Series Gasket,$62,Mechkeys,None,None,https://keeb-finder.com/keyboards/feker-ik105-ik85-series-gasket-mechanical-keyboard,https://keeb-finder.com/keyboards/feker-ik105-ik85-series-gasket-mechanical-keyboard,Feker,Keyboard,Normal Profile,100%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"2.4 GHz, Wireless",8000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Ganss HELLOGANSS XS98T Plugin Screen,$89,Mechkeys,None,None,https://keeb-finder.com/keyboards/helloganss-xs98t-plug-in-screen-mechanical-keyboard,https://keeb-finder.com/keyboards/helloganss-xs98t-plug-in-screen-mechanical-keyboard,Ganss,Keyboard,Normal Profile,95%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"2.4 GHz, Wireless",3750 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Fopato D68 Three Mode,$119,Mechkeys,None,None,https://keeb-finder.com/keyboards/fopato-d68-three-mode-mechanical-keyboard,https://keeb-finder.com/keyboards/fopato-d68-three-mode-mechanical-keyboard,Fopato,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"2.4 GHz, Wireless",3000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Monsgeek M3W Three Mode,$98,Mechkeys,None,None,https://keeb-finder.com/keyboards/monsgeek-m3w-three-mode-87-keys-mechanical-keyboard,https://keeb-finder.com/keyboards/monsgeek-m3w-three-mode-87-keys-mechanical-keyboard,Monsgeek,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,No,Yes,No,No,"2.4 GHz, Wireless",6000 mAh,Unknown,Aluminum,PBT,2024-03-28
Dukharo FJ75,$109,Mechkeys,None,None,https://keeb-finder.com/keyboards/dukharo-fj75-gasketmo-mechanical-keyboard,https://keeb-finder.com/keyboards/dukharo-fj75-gasketmo-mechanical-keyboard,Dukharo,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"Bluetooth, 2.4 GHz, Wireless",8000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Lofree Dot Series Foundation,$199,Mechkeys,None,None,https://keeb-finder.com/keyboards/lofree-dot-series-foundation-mechanical-keyboard,https://keeb-finder.com/keyboards/lofree-dot-series-foundation-mechanical-keyboard,Lofree,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,No,No,No,No,"Bluetooth, 2.4 GHz, Wireless",4000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Cherry K5V2 Retro,$249,Mechkeys,None,None,https://keeb-finder.com/keyboards/cherry-k5v2-hot-swappable-mechanical-keyboard,https://keeb-finder.com/keyboards/cherry-k5v2-hot-swappable-mechanical-keyboard,Cherry,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,No,Yes,No,No,Wired,No battery,Unknown,Plastic,PBT,2024-03-28
Jamesdonkey R2 Aluminium Alloy,$149,Mechkeys,None,None,https://keeb-finder.com/keyboards/jamesdonkey-r2-aluminium-alloy-mechanical-keyboard,https://keeb-finder.com/keyboards/jamesdonkey-r2-aluminium-alloy-mechanical-keyboard,Jamesdonkey,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,Yes,Yes,No,No,"2.4 GHz, Wireless",6000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Lofree Land of Mystery Combo,$259,Mechkeys,None,None,https://keeb-finder.com/keyboards/lofree-land-of-mystery-mechanical-keyboard-combo,https://keeb-finder.com/keyboards/lofree-land-of-mystery-mechanical-keyboard-combo,Lofree,Keyboard,Normal Profile,96%,ANSI,Normal,No,No,No,Yes,No,"2.4 GHz, Wireless",-,Unknown,Plastic,PBT,2024-03-28
AULA F75 Gasket Three Mode,$62,Mechkeys,None,None,https://keeb-finder.com/keyboards/aula-f75-gasket-mechanical-keyboard,https://keeb-finder.com/keyboards/aula-f75-gasket-mechanical-keyboard,AULA,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,No,"2.4 GHz, Wireless",4000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Royalaxe XL98,$379,Mechkeys,None,None,https://keeb-finder.com/keyboards/royalaxe-xl98-led-screen-mechanical-keyboard,https://keeb-finder.com/keyboards/royalaxe-xl98-led-screen-mechanical-keyboard,Royalaxe,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,No,Yes,Yes,No,"2.4 GHz, Wireless",8000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Monka 3075 Pro,$69,Mechkeys,None,None,https://keeb-finder.com/keyboards/monka-3075-pro-mechanical-keyboard,https://keeb-finder.com/keyboards/monka-3075-pro-mechanical-keyboard,Monka,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,No,Yes,Yes,No,"2.4 GHz, Wireless",4000 mAh,Gasket Mount,Plastic,ABS,2024-03-28
Royal Kludge RK98,$71,Mechkeys,None,None,https://keeb-finder.com/keyboards/royal-kludge-rk98-wireless-mechanical-keyboard,https://keeb-finder.com/keyboards/royal-kludge-rk98-wireless-mechanical-keyboard,Royal Kludge,Keyboard,Normal Profile,95%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",3750 mAh,Unknown,Plastic,PBT,2024-03-28
Royal Kludge S75 Gasket,$69,Mechkeys,None,None,https://keeb-finder.com/keyboards/royal-kludge-rk-s75-gasket-mechanical-keyboard,https://keeb-finder.com/keyboards/royal-kludge-rk-s75-gasket-mechanical-keyboard,Royal Kludge,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"2.4 GHz, Wireless",3750 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Akko MOD007BHE Magnetic Switch,$224,Mechkeys,None,None,https://keeb-finder.com/keyboards/akko-mod007b-he-magnetic-switch-mechanical-keyboard,https://keeb-finder.com/keyboards/akko-mod007b-he-magnetic-switch-mechanical-keyboard,Akko,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,No,"Wired, Wireless",3600 mAh,Gasket Mount,Metal,PBT,2024-03-28
BAROCCOMISTEL MD600 Alpha Split,$270,Mechkeys,None,None,https://keeb-finder.com/keyboards/baroccomistel-md600-alpha-split-keyboard,https://keeb-finder.com/keyboards/baroccomistel-md600-alpha-split-keyboard,BAROCCOMISTEL,Keyboard,Normal Profile,60%,ANSI,Alice,Yes,No,Yes,No,No,"Bluetooth, Wireless",2000 mAh,Unknown,Plastic,PBT,2024-03-28
Coolkiller Rococo Series,$89,Mechkeys,None,None,https://keeb-finder.com/keyboards/coolkiller-rococo-series-mechanical-keyboard,https://keeb-finder.com/keyboards/coolkiller-rococo-series-mechanical-keyboard,Coolkiller,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",-,Gasket Mount,Plastic,PBT,2024-03-28
Jamesdonkey RS2 30 Rosy,$92,Mechkeys,None,None,https://keeb-finder.com/keyboards/jamesdonkey-rs2-3-0-rosy-mechanical-keyboard,https://keeb-finder.com/keyboards/jamesdonkey-rs2-3-0-rosy-mechanical-keyboard,Jamesdonkey,Keyboard,Normal Profile,95%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"Wired, Wireless",4000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Monsgeek M1 HE Magnetic Switch Three Mode,$199,Mechkeys,None,None,https://keeb-finder.com/keyboards/monsgeek-m1-magnetic-switch-mechanical-keyboard,https://keeb-finder.com/keyboards/monsgeek-m1-magnetic-switch-mechanical-keyboard,Monsgeek,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,No,Wired,No battery,Gasket Mount,Aluminum,PBT,2024-03-28
Cherry MX80,$205,Mechkeys,None,None,https://keeb-finder.com/keyboards/cherry-mx8-0-mechanical-keyboard,https://keeb-finder.com/keyboards/cherry-mx8-0-mechanical-keyboard,Cherry,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,Yes,No,No,Wired,No battery,Unknown,Plastic,ABS,2024-03-28
Jamesdonkey A3 Grey Cyan,$71,Mechkeys,None,None,https://keeb-finder.com/keyboards/jamesdonkey-a3-grey-cyan-mechanical-keyboard,https://keeb-finder.com/keyboards/jamesdonkey-a3-grey-cyan-mechanical-keyboard,Jamesdonkey,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",3000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Monsgeek M7W Barebones,$98,Mechkeys,None,None,https://keeb-finder.com/keyboards/monsgeek-m7w-keyboard-kit,https://keeb-finder.com/keyboards/monsgeek-m7w-keyboard-kit,Monsgeek,Keyboard Kit,Normal Profile,65%,ANSI,Normal,Yes,Yes,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",5000 mAh,Plate Mount,Plastic,PBT,2024-03-28
Ganss HELLOGANSS XS 75T LCD,$69,Mechkeys,None,None,https://keeb-finder.com/keyboards/helloganss-xs-75t-lcd-mechanical-keyboard,https://keeb-finder.com/keyboards/helloganss-xs-75t-lcd-mechanical-keyboard,Ganss,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"2.4 GHz, Wireless",3750 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Monka 6067 Aluminium Alloy,$62,Mechkeys,None,None,https://keeb-finder.com/keyboards/monka-6067-aluminium-alloy-keyboard-kit,https://keeb-finder.com/keyboards/monka-6067-aluminium-alloy-keyboard-kit,Monka,Keyboard Kit,Normal Profile,65%,ANSI,Normal,Yes,Yes,Yes,No,No,Wired,No battery,Gasket Mount,Plastic,Unknown,2024-03-28
Corsair K70 CORE,$129,Mechkeys,None,None,https://keeb-finder.com/keyboards/corsair-k70-core-rgb-wired-mechanical-keyboard,https://keeb-finder.com/keyboards/corsair-k70-core-rgb-wired-mechanical-keyboard,Corsair,Keyboard,Normal Profile,100%,ANSI,Normal,No,Yes,Yes,No,No,Wired,No battery,Unknown,Plastic,ABS,2024-03-28
Idobao Fragrance,$189,Mechkeys,None,None,https://keeb-finder.com/keyboards/idobao-fragrance-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/idobao-fragrance-custom-mechanical-keyboard,Idobao,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,No,No,No,No,"Bluetooth, Wireless",4000 mAh,Gasket Mount,Plastic,ABS,2024-03-28
Darmoshark TOP75,$89,Mechkeys,None,None,https://keeb-finder.com/keyboards/darmoshark-top75-mechanical-keyboard,https://keeb-finder.com/keyboards/darmoshark-top75-mechanical-keyboard,Darmoshark,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"2.4 GHz, Wireless",4000 mAh,Top Mount,Plastic,PBT,2024-03-28
Fl·esports OG98 Retro,$119,Mechkeys,None,None,https://keeb-finder.com/keyboards/fl-esports-og98-retro-mechanical-keyboard,https://keeb-finder.com/keyboards/fl-esports-og98-retro-mechanical-keyboard,Fl·esports,Keyboard,Normal Profile,96%,ANSI,Normal,No,No,Yes,No,No,"2.4 GHz, Wireless",-,Gasket Mount,Plastic,PBT,2024-03-28
8BitDo Retro,$119,Mechkeys,None,None,https://keeb-finder.com/keyboards/8bitdo-retro-wireless-mechanical-keyboard,https://keeb-finder.com/keyboards/8bitdo-retro-wireless-mechanical-keyboard,8BitDo,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,Yes,No,No,No,"2.4 GHz, Wireless",2000 mAh,Top Mount,Plastic,PBT,2024-03-28
Durgod S230 Low Profile,$109,Mechkeys,None,None,https://keeb-finder.com/keyboards/durgod-s230-low-profile-mechanical-keyboard,https://keeb-finder.com/keyboards/durgod-s230-low-profile-mechanical-keyboard,Durgod,Keyboard,Low Profile,65%,ANSI,Normal,No,No,No,No,No,"2.4 GHz, Wireless",2000 mAh,Unknown,Plastic,ABS,2024-03-28
Fl·esports CMK75,$99,Mechkeys,None,None,https://keeb-finder.com/keyboards/fl-esports-cmk75-mechanical-keyboard,https://keeb-finder.com/keyboards/fl-esports-cmk75-mechanical-keyboard,Fl·esports,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"Bluetooth, 2.4 GHz, Wireless",3000 mAh,Gasket Mount,Plastic,ABS,2024-03-28
Xinmeng A66 Aluminium Alloy,$79,Mechkeys,None,None,https://keeb-finder.com/keyboards/xinmeng-a66-aluminium-alloy-keyboard-kit,https://keeb-finder.com/keyboards/xinmeng-a66-aluminium-alloy-keyboard-kit,Xinmeng,Keyboard Kit,Normal Profile,65%,ANSI,Normal,Yes,Yes,No,No,No,"2.4 GHz, Wireless",-,Gasket Mount,Plastic,Unknown,2024-03-28
Corsair K70 MAX,$359,Mechkeys,None,None,https://keeb-finder.com/keyboards/corsair-k70-max-rgb-mechanical-keyboard,https://keeb-finder.com/keyboards/corsair-k70-max-rgb-mechanical-keyboard,Corsair,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,Yes,No,No,Wired,No battery,Unknown,Plastic,PBT,2024-03-28
Feker K75,$109,Mechkeys,None,None,https://keeb-finder.com/keyboards/feker-k75-mechanical-keyboard,https://keeb-finder.com/keyboards/feker-k75-mechanical-keyboard,Feker,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,No,Yes,Yes,No,"Wired, Wireless",5000 mAh,Unknown,Plastic,PBT,2024-03-28
Akko SPR75 Spring Structure,$159,Mechkeys,None,None,https://keeb-finder.com/keyboards/akko-spr75-kit,https://keeb-finder.com/keyboards/akko-spr75-kit,Akko,Keyboard Kit,Normal Profile,75%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Unknown,Plastic,Unknown,2024-03-28
Akko 5108B Pochacco Green,$99,Mechkeys,None,None,https://keeb-finder.com/keyboards/akko-5108b-pochacco-mechanical-keyboard,https://keeb-finder.com/keyboards/akko-5108b-pochacco-mechanical-keyboard,Akko,Keyboard,Normal Profile,100%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",-,Unknown,Plastic,PBT,2024-03-28
Fancy V81 Plus Aluminium Alloy,$149,Mechkeys,None,None,https://keeb-finder.com/keyboards/fancy-v81-plus-aluminium-alloy-keyboard-kit,https://keeb-finder.com/keyboards/fancy-v81-plus-aluminium-alloy-keyboard-kit,Fancy,Keyboard Kit,Normal Profile,75%,ANSI,Normal,Yes,No,No,Yes,No,"Wired, Wireless",3000 mAh,Gasket Mount,Aluminum,Unknown,2024-03-28
BASIC AK82 Gasket Three Mode,$59,Mechkeys,None,None,https://keeb-finder.com/keyboards/basic-ak82-gasket-three-mode-mechanical-keyboard,https://keeb-finder.com/keyboards/basic-ak82-gasket-three-mode-mechanical-keyboard,BASIC,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,No,"2.4 GHz, Wireless",-,Gasket Mount,Plastic,PBT,2024-03-28
Jamesdonkey S2 Low Profile,$69,Mechkeys,None,None,https://keeb-finder.com/keyboards/jamesdonkey-s2-low-profile-mechanical-keyboard,https://keeb-finder.com/keyboards/jamesdonkey-s2-low-profile-mechanical-keyboard,Jamesdonkey,Keyboard,Low Profile,96%,ANSI,Normal,Yes,No,No,No,No,"2.4 GHz, Wireless",3000 mAh,Unknown,Plastic,PBT,2024-03-28
Fantech MAXFIT81 MK910 VIBE Edition,$109,Mechkeys,None,None,https://keeb-finder.com/keyboards/fantech-maxfit81-mk910-vibe-edition-mechanical-keyboard,https://keeb-finder.com/keyboards/fantech-maxfit81-mk910-vibe-edition-mechanical-keyboard,Fantech,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"Bluetooth, Wireless",4000 mAh,Plate Mount,Plastic,PBT,2024-03-28
Keydous NJ98,$109,Mechkeys,None,None,https://keeb-finder.com/keyboards/keydous-nj98-kit,https://keeb-finder.com/keyboards/keydous-nj98-kit,Keydous,Keyboard Kit,Normal Profile,95%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"Wired, 2.4 GHz, Wireless",8000 mAh,Unknown,Plastic,PBT,2024-03-28
REDMAGIC Yellow,$179,Mechkeys,None,None,https://keeb-finder.com/keyboards/nubia-redmagic-yellow-mechanical-keyboard,https://keeb-finder.com/keyboards/nubia-redmagic-yellow-mechanical-keyboard,REDMAGIC,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,Yes,Yes,Yes,No,"2.4 GHz, Wireless",4000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Lenovo KB Pro Low Profile,$129,Mechkeys,None,None,https://keeb-finder.com/keyboards/lenovo-kb-pro-low-profile-mechanical-keyboard,https://keeb-finder.com/keyboards/lenovo-kb-pro-low-profile-mechanical-keyboard,Lenovo,Keyboard,Low Profile,75%,ANSI,Normal,Yes,No,Yes,No,No,"2.4 GHz, Wireless",2400 mAh,Unknown,Plastic,PBT,2024-03-28
BASIC BK98 Explore The Stars,$79,Mechkeys,None,None,https://keeb-finder.com/keyboards/basic-bk98-explore-the-stars-mechanical-keyboard,https://keeb-finder.com/keyboards/basic-bk98-explore-the-stars-mechanical-keyboard,BASIC,Keyboard,Normal Profile,95%,ANSI,Normal,Yes,No,Yes,Yes,No,"2.4 GHz, Wireless",-,Unknown,Plastic,PBT,2024-03-28
HEXCORE W800,$89,Mechkeys,None,None,https://keeb-finder.com/keyboards/hexcore-w800-mechanical-keyboard,https://keeb-finder.com/keyboards/hexcore-w800-mechanical-keyboard,HEXCORE,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",2000 mAh,Unknown,Plastic,PBT,2024-03-28
Dareu A98 Master,$169,Mechkeys,None,None,https://keeb-finder.com/keyboards/dareu-a98-master-mechanical-keyboard,https://keeb-finder.com/keyboards/dareu-a98-master-mechanical-keyboard,Dareu,Keyboard,Normal Profile,95%,ANSI,Normal,Yes,No,Yes,No,No,"2.4 GHz, Wireless",4000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Corsair K65 Plus,$199,Mechkeys,None,None,https://keeb-finder.com/keyboards/corsair-k65-plus-wireless-mechanical-keyboard,https://keeb-finder.com/keyboards/corsair-k65-plus-wireless-mechanical-keyboard,Corsair,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,No,"2.4 GHz, Wireless",-,Top Mount,Plastic,PBT,2024-03-28
Lenovo GK700,$109,Mechkeys,None,None,https://keeb-finder.com/keyboards/lenovo-gk700-mechanical-keyboard,https://keeb-finder.com/keyboards/lenovo-gk700-mechanical-keyboard,Lenovo,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",3300 mAh,Gasket Mount,Plastic,PBT,2024-03-28
REDMAGIC GK002J,$89,Mechkeys,None,None,https://keeb-finder.com/keyboards/nubia-redmagic-gk002j-mechanical-keyboard,https://keeb-finder.com/keyboards/nubia-redmagic-gk002j-mechanical-keyboard,REDMAGIC,Keyboard,Normal Profile,100%,ANSI,Normal,Yes,No,Yes,No,No,"2.4 GHz, Wireless",4000 mAh,Unknown,Plastic,PBT,2024-03-28
AULA F99 Gasket,$98,Mechkeys,None,None,https://keeb-finder.com/keyboards/aula-f99-gasket-mechanical-keyboard,https://keeb-finder.com/keyboards/aula-f99-gasket-mechanical-keyboard,AULA,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,No,Yes,No,No,"2.4 GHz, Wireless",8000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Leopold FC900R Single Mode,$169,Mechkeys,None,None,https://keeb-finder.com/keyboards/leopold-fc900r-single-mode-mechanical-keyboard,https://keeb-finder.com/keyboards/leopold-fc900r-single-mode-mechanical-keyboard,Leopold,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Unknown,Plastic,PBT,2024-03-28
Leopold FC/NP900R Dual Mode,$207,Mechkeys,None,None,https://keeb-finder.com/keyboards/leopold-fc-np900r-dual-mode-mechanical-keyboard,https://keeb-finder.com/keyboards/leopold-fc-np900r-dual-mode-mechanical-keyboard,Leopold,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Unknown,Plastic,PBT,2024-03-28
KeysMe Lunar 01,$269,Mechkeys,None,None,https://keeb-finder.com/keyboards/keysme-lunar-01-mechanical-keyboard,https://keeb-finder.com/keyboards/keysme-lunar-01-mechanical-keyboard,KeysMe,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,Yes,No,No,Wired,No battery,Unknown,Plastic,PBT,2024-03-28
KeysMe Lunar 01 Gaskets,$259,Mechkeys,None,None,https://keeb-finder.com/keyboards/keysme-lunar-01-gaskets-mechanical-keyboard,https://keeb-finder.com/keyboards/keysme-lunar-01-gaskets-mechanical-keyboard,KeysMe,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,Yes,No,No,Wired,No battery,Gasket Mount,Plastic,PBT,2024-03-28
Firstblood B67 Mojito Limited,$189,Mechkeys,None,None,https://keeb-finder.com/keyboards/firstblood-b67-mojito-limited-mechanical-keyboard,https://keeb-finder.com/keyboards/firstblood-b67-mojito-limited-mechanical-keyboard,Firstblood,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,No,Yes,No,No,"Wired, Wireless",3750 mAh,Gasket Mount,Plastic,Unknown,2024-03-28
Lenovo YOGA K7,$115,Mechkeys,None,None,https://keeb-finder.com/keyboards/lenovo-yoga-k7-mechanical-keyboard,https://keeb-finder.com/keyboards/lenovo-yoga-k7-mechanical-keyboard,Lenovo,Keyboard,Low Profile,75%,ANSI,Normal,No,No,Yes,No,No,"Bluetooth, Wireless",-,Unknown,Plastic,PBT,2024-03-28
Monsgeek M5 Aluminium Gasket,$98,Mechkeys,None,None,https://keeb-finder.com/keyboards/monsgeek-m5-aluminium-gasket-keyboard-kit,https://keeb-finder.com/keyboards/monsgeek-m5-aluminium-gasket-keyboard-kit,Monsgeek,Keyboard Kit,Normal Profile,100%,ANSI,Normal,Yes,No,Yes,No,Yes,Wired,No battery,Gasket Mount,Plastic,Unknown,2024-03-28
Lofree Block 98,$169,Mechkeys,None,None,https://keeb-finder.com/keyboards/lofree-block-98-mechanical-keyboard,https://keeb-finder.com/keyboards/lofree-block-98-mechanical-keyboard,Lofree,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,Yes,No,No,No,"Bluetooth, 2.4 GHz, Wireless",2000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
